,Unnamed: 0,stop_name,next_stop_name,trip_count,frequency,total_passengers,totalTripTime,distance,OriginLat,OriginLon,DestLat,DestLon,stop_city,next_stop_city,stop_city_distance,next_stop_city_distance,capacity
1138,1138,Stuttgart Hbf,Vaihingen(Enz),54,9308.0,11124,175.0,28.201805911160456,48.784748,9.183217,48.948746,8.956868,Stuttgart,Stuttgart,10.925799202652843,34.750103191580386,36504
1139,1139,Stuttgart Hbf,Weinheim(Bergstr)Hbf,4,260.0,824,355.0,114.07521856258282,48.784748,9.183217,49.553547,8.665607,Stuttgart,Mannheim,10.925799202652843,14.156643020852577,2704
1140,1140,Stuttgart Hbf,Wiesloch-Walldorf,10,1196.0,2060,117.0,78.49617394411615,48.784748,9.183217,49.291042,8.664242,Stuttgart,Mannheim,10.925799202652843,22.989804771191427,6760
1141,1141,Stuttgart-Vaihingen,Böblingen,1,364.0,206,115.0,10.296848639579704,48.72628,9.113226,48.688004,9.00438,Stuttgart,Stuttgart,8.967158615035196,16.021007405672478,676
1142,1142,Stuttgart-Vaihingen,Stuttgart Hbf,1,260.0,206,114.0,12.023049551211445,48.72628,9.113226,48.784748,9.183217,Stuttgart,Stuttgart,8.967158615035196,10.925799202652843,676
1143,1143,Sulz(Neckar),Horb,20,3587.0,4120,118.0,14.335269764461495,48.367573,8.637867,48.44146,8.688829,Stuttgart,Stuttgart,56.08758572073186,48.07809829071848,13520
1144,1144,Sulz(Neckar),Oberndorf(Neckar),25,4313.0,5150,141.0,10.978972475277454,48.367573,8.637867,48.295506,8.575614,Stuttgart,Stuttgart,56.08758572073186,64.85037557759145,16900
1145,1145,Traunstein,Prien am Chiemsee,11,2341.0,2266,485.0,28.187506490031048,47.868744,12.638541,47.854458,12.346733,Munich,Munich,83.29532659939895,69.47011438684396,7436
1146,1146,Traunstein,Rosenheim,6,676.0,1236,225.0,53.785596441971855,47.868744,12.638541,47.850994,12.118372,Munich,Munich,83.29532659939895,61.140268069521134,4056
1147,1147,Traunstein,Übersee,1,364.0,206,449.0,15.276676864519494,47.868744,12.638541,47.8221,12.487651,Munich,Munich,83.29532659939895,78.9097977355221,676
1148,1148,Traunstein Bahnhof,Freilassing,1,364.0,206,461.0,28.305450347350604,47.86896,12.638703,47.83703,12.976586,Munich,Munich,83.28887147230495,105.6639904409638,676
1149,1149,Traunstein Bahnhof,Freilassing Bahnhof,22,3588.0,4532,305.0,29.13085238906131,47.86896,12.638703,47.83622,12.977907,Munich,Munich,83.28887147230495,105.79612313825477,14872
1150,1150,Treuchtlingen,Ansbach Bahnhof,6,572.0,1236,449.0,51.480351092603534,48.961037,10.907991,49.299046,10.578031,Augsburg,Nuernberg,59.60392103034095,42.548196936646946,4056
1151,1151,Treuchtlingen,Donauwörth,10,1560.0,2060,105.0,34.48742926404389,48.961014,10.908198,48.71402,10.771564,Augsburg,Augsburg,59.60092061824534,34.2135053434198,6760
1152,1152,Treuchtlingen,Nürnberg Hbf,10,1820.0,2060,284.0,62.09273728110013,48.961014,10.908198,49.445545,11.082228,Augsburg,Nuernberg,59.60092061824534,5.919456104692248,6760
1153,1153,Treuchtlingen,Würzburg Hbf,1,104.0,206,219.0,140.12944498555004,48.961266,10.908159,49.80213,9.935987,Augsburg,Nuernberg,59.62901664500376,89.11029762198788,676
1154,1154,Treysa,Kassel-Wilhelmshöhe,2,260.0,412,417.0,58.4964934782045,50.91066,9.185673,51.312435,9.448181,Kassel,Kassel,58.059815092155866,12.46701376688958,1352
1155,1155,Treysa,Marburg(Lahn),20,1976.0,4120,181.0,41.811647609529054,50.91066,9.185673,50.81922,8.775031,Kassel,Kassel,58.059815092155866,79.06032132811322,13520
1156,1156,Treysa,Wabern(Bz Kassel),18,1924.0,3708,262.0,28.330291774902168,50.91066,9.185673,51.103134,9.35804,Kassel,Kassel,58.059815092155866,34.99949353025517,12168
1157,1157,Tuttlingen,"Bahnhof, Engen",20,3690.0,4120,98.0,19.66764579931182,47.980232,8.798486,47.85621,8.772516,Friedrichshafen,Friedrichshafen,63.48230602921226,59.08923305995754,13520
1158,1158,Tuttlingen,Rottweil,9,2652.0,1854,110.0,27.668344171127977,47.98054,8.798271,48.16566,8.639871,Friedrichshafen,Stuttgart,63.514244166744724,72.48406611157199,6084
1159,1159,Tuttlingen,Singen(Hohentwiel),10,2703.0,2060,141.0,33.97861137688545,47.98054,8.798271,47.75892,8.841381,Friedrichshafen,Friedrichshafen,63.514244166744724,51.21670859157267,6760
1160,1160,Tuttlingen,Spaichingen,19,3535.0,3914,118.0,12.302952783350053,47.98054,8.798271,48.068996,8.741704,Friedrichshafen,Friedrichshafen,63.514244166744724,72.60710416970997,12844
1161,1161,Tutzing,München Hbf,3,104.0,618,485.0,40.19205542260081,47.907143,11.27289,48.140026,11.557518,Munich,Munich,62.65763316084844,29.21046936611432,2028
1162,1162,Tutzing,Weilheim(Oberbay),2,104.0,412,310.0,13.907060991860227,47.907097,11.272716,47.845955,11.14423,Munich,Augsburg,62.6695945332159,66.33095934510645,1352
1163,1163,Tübingen Hbf,Reutlingen Hbf,7,1196.0,1442,429.0,16.287493892975096,48.515724,9.055054,48.49659,9.209771,Stuttgart,Stuttgart,22.94932510723761,21.515163795396305,4732
1164,1164,Uelzen,Bad Bevensen,9,884.0,1854,260.0,12.788862321087628,52.969612,10.553516,53.078274,10.574201,Braunschweig,Hamburg,72.3778836760835,72.78830082858605,6084
1165,1165,Uelzen,Celle,62,6240.0,12772,424.0,52.14170299071894,52.969658,10.553415,52.620457,10.062468,Braunschweig,Hannover,72.38301964413512,31.14564232503025,41912
1166,1166,Uelzen,Hamburg-Harburg,5,260.0,1030,355.0,72.95931060676628,52.969612,10.553516,53.45624,9.991983,Braunschweig,Hamburg,72.3778836760835,19.38516965239259,3380
1167,1167,Uelzen,Hannover Hbf,13,1300.0,2678,303.0,93.18794641736092,52.969658,10.553415,52.37734,9.741547,Braunschweig,Hannover,72.38301964413512,10.081287114936238,8788
1168,1168,Uelzen,Lüneburg,75,7131.0,15450,354.0,35.0951287446133,52.969612,10.553516,53.249535,10.419739,Braunschweig,Hamburg,72.3778836760835,51.17622879674875,50700
1169,1169,Uelzen,Salzwedel,1,312.0,206,148.0,51.711489715338814,52.969837,10.55279,52.858112,11.162035,Braunschweig,Braunschweig,72.4030582617915,72.68213832890723,676
1170,1170,Ulm Hbf,Augsburg Hbf,103,15026.0,21218,309.0,85.17346877241482,48.399345,9.982816,48.3656,10.885713,Memmingen,Augsburg,49.47826424853365,7.457760588517425,69628
1171,1171,Ulm Hbf,Biberach(Riß),3,676.0,618,426.0,37.32619619462959,48.3994,9.982608,48.101936,9.792939,Memmingen,Memmingen,49.48986849132105,35.59266927258608,2028
1172,1172,Ulm Hbf,Günzburg,61,6554.0,12566,627.0,24.510260567812303,48.399345,9.982816,48.46052,10.27926,Memmingen,Augsburg,49.47826424853365,48.42660000463885,41236
1173,1173,Ulm Hbf,Neu-Ulm,1,364.0,206,114.0,2.7731653740499587,48.399345,9.982933,48.39352,10.005831,Memmingen,Memmingen,49.47491011525626,48.23939460832498,676
1174,1174,Ulm Hbf,Stuttgart Hbf,192,23867.0,39552,199.0,89.0205743757613,48.399345,9.982933,48.784748,9.183217,Memmingen,Stuttgart,49.47491011525626,10.925799202652843,129792
1175,1175,Vaihingen(Enz),Esslingen(Neckar),1,52.0,206,480.0,36.04437632854076,48.948555,8.956527,48.738544,9.300522,Stuttgart,Stuttgart,34.746572876488095,7.917465808032558,676
1176,1176,Vaihingen(Enz),Heidelberg Hbf,39,5616.0,8034,429.0,63.22083769344796,48.948746,8.956868,49.40382,8.674716,Stuttgart,Mannheim,34.750103191580386,13.960072919863894,26364
