,stop_name,next_stop_name,Unnamed: 0,trip_id,stop_id,stop_sequence,route_short_name,next_stop_id,totalTripTime,osm_distance,OriginLat,OriginLon,DestLat,DestLon
130,Berlin-Spandau,Frankfurt(Main)Hbf,36586,790909,588194,2,ICE 16,60152.0,247.0,524.1757375041868,52.5346,13.197163,50.1063,8.662814
131,Berlin-Spandau,Frankfurt(Main)Süd,28609,427353,588194,2,ICE 82,305162.0,318.0,519.7630717368703,52.5346,13.197163,50.099003,8.686179
132,Berlin-Spandau,Hamburg Hbf,42969,3616,65641,4,ICE 29,500722.0,336.0,275.23638001500063,52.534668,13.197191,53.55252,10.007353
133,Berlin-Spandau,Hamburg-Bergedorf,22285,788153,65641,11,ICE 18,515323.0,377.0,259.39006018370776,52.534668,13.197191,53.48963,10.205985
134,Berlin-Spandau,Hannover Hbf,41877,87697,588194,2,IC 77,43645.0,224.0,244.38752147943924,52.5346,13.197163,52.377613,9.741834
135,Berlin-Spandau,Hannover Messe/Laatzen,36507,563718,588194,2,ICE 16,619095.0,393.0,245.9574048872024,52.5346,13.197163,52.316975,9.792607
136,Berlin-Spandau,Ludwigslust,12756,161217,65641,2,IC 29,281299.0,132.0,160.34532722095776,52.534668,13.197191,53.334885,11.49398
137,Berlin-Spandau,Salzwedel,33967,154076,65641,9,ICE 28,432031.0,413.0,151.18202121858823,52.534668,13.197191,52.858112,11.162035
138,Berlin-Spandau,Stendal Hbf,3681,2771,588194,3,ICE 12,627546.0,488.0,94.2984926962484,52.5346,13.197163,52.594723,11.854412
139,Berlin-Spandau,Wittenberge,18402,29414,65641,6,ICE 15,661034.0,377.0,117.15553932714576,52.534668,13.197191,53.004498,11.762504
140,Berlin-Spandau,Wolfsburg Hbf,3543,20163,588194,2,ICE 12,330639.0,371.0,169.5671455114713,52.5346,13.197163,52.429665,10.787913
141,Berlin-Spandau,Wunstorf,41470,129529,588194,2,IC 77,128479.0,231.0,265.62429765192405,52.5346,13.197163,52.42213,9.450977
142,Berlin-Wannsee,Berlin Gesundbrunnen,20720,476897,118054,13,IC 56,400896.0,264.0,24.99692625663201,52.42135,13.180446,52.548573,13.390519
